category,texts
0,หนูบ้านกับหนูนา
0,“กินอาหารกลางวันที่ต่างจังหวัด
1,น่าสนใจเป็นที่สุด!”
0,หนูบ้านอุทานเมื่อได้รับบัตรเชิญจากญาติของมัน
0,ซึ่งผู้นำข่าวนี้มาแจ้งก็คือคุณไปรษณีย์นกนั่นเอง
1,“อากาศสดชื่น แสงแดดอ่อนๆ มีแต่ความเงียบและสงบสุข...”
-1,หนูน้อยยังคงฝันเฟื่องต่อไป ขณะที่มองออกไปนอกหน้าต่างแล้วเห็นความวุ่นวายตรงถนนข้างล่าง
1,“เชื่อเลยว่าอาหารต้องมีรสชาติวิเศษสุด เวลาที่เราพักผ่อนอยู่ในสวนดอกไม้ใต้ท้องฟ้ากว้าง”
0,“ขอโทษนะจ๊ะ” นกไปรษณีย์พูด
-1,มันกำลังคอยอยู่ที่ขอบหน้าต่างอย่างร้อนใจ
1,“ต้องตอบจดหมายไหม” “โอ จริงสินะ” หนูบ้านพูด
1,“ช่วยบอกเขาด้วยว่าฉันยินดีที่จะไป ฉันจะไปถึงที่นั่นตอนเที่ยงวันพรุ่งนี้”
0,นกไปรษณีย์พยักหน้าแล้วบินหายไปในท้องฟ้า
0,เช้าตรู่วันรุ่งขึ้น หนูน้อยลอดตัวออกจากประตูบ้านในเมืองหลังที่มันอาศัยอยู่
0,แล้วออกเดินทางไปเยี่ยมญาติของมันที่ต่างจังหวัด
0,หนูน้อยวิ่งไปตามถนนที่มีแต่ความจอแจ มันแทรกตัวผ่านเท้าของผู้คนอย่างเร่งรีบ จนมาถึงสถานีรถไฟ
0,ผู้โดยสารนับร้อยเคลื่อนตัวออกจากรถไฟไปสู่ชานชาลา
0,พวกเขาต่างถือกระเป๋าเดินทางและร่มอยู่ในมือ
0,หนูน้อยหลบหลีกขาของคนเหล่านั้นอย่างรวดเร็ว แล้วกระโดดขึ้นรถไฟได้ทันเวลาพอดี
0,ประตูปิดตามหลังมันและรถไฟก็เคลื่อนตัวออกจากสถานี
-1,เจ้าหนูไต่ขึ้นไปยังที่ว่างข้างหน้าต่าง มันมองภาพเมืองอันวุ่นวายที่วิ่งผ่านไป บ้านและร้านรวง ตรอกซอยและถนน ผู้คนและเสาไฟ รถประจำทางและรถยนต์ขับผ่านไปอย่างรวดเร็ว
-1,ภาพเหล่านั้นค่อยๆ เปิดทางให้เนินเขาสีเขียวสูงๆ ต่ำๆ ลดหลั่นกัน และทุ่งดอกไม้กว้างสุดตาเผยออกมา กระทั่งรถไฟมาหยุดที่สถานีชนบทที่เงียบเหงาแห่งหนึ่ง
-1,เจ้าหนูจึงกระโดดลง มันกระโดดลงไปตามขั้นบันไดที่สถานีแล้วมายืนอยู่บนถนนนอกเมืองสายเล็กๆ ที่แสนเงียบเหงา
0,ผึ้งส่งเสียงหึ่งๆ เบาๆ ในอากาศ ท้องฟ้าเป็นสีฟ้าเข้มปราศจากเสียงใดๆ
0,ไม่มีภาพผู้คนที่เร่งรีบหรือรถประจำทางเสียงดังให้ได้เห็นเลย
0,หนูน้อยดึงบัตรเชิญออกจากกระเป๋าเพื่อจะดูเส้นทางที่ญาติของมันส่งมาให้
0,“จากสถานีให้ไปตามถนนสายเล็กๆ ลงเนิน แล้วเลี้ยวซ้ายไปทางทุ่งหญ้า”
0,มันอ่าน “ตรงไปเรื่อยๆ จนกว่าจะได้ยินเสียงแม่น้ำ 
0,แล้วค่อยเลี้ยวขวาที่เดซีดอกที่สาม แล้วเธอจะพบทางเข้าบ้านอยู่ใต้ดอกป๊อปปี้”
0,ไม่นานนัก หนูบ้านก็มาเคาะประตูไม้บานเล็กๆ ที่อยู่ในร่มเงาของดอกป๊อปปี้ที่กำลังไหวไปมา
